魚兎エディタ開発記録 (2025年7月10日 - 途中経過)

本日の作業では、シンタックスハイライトの色表示の問題解決に注力しています。

1.  **シンタックスハイライトの色表示問題**:
    *   `Prism.highlight` がHTMLを生成していることは確認済みですが、プレビューエリアに色が付いて表示されない問題が発生しています。
    *   `Prism.js` のCSSファイルが正しく適用されていない、または他のCSSによって上書きされている可能性が考えられています。
    *   `index.html` から `Prism.js` の `<script>` タグと `link` タグをすべて削除し、`js/main.js` で動的に読み込む方式に戻すことを試みていますが、`replace` ツールの `old_string` との不一致により、修正が繰り返し失敗しています。

2.  **これまでの主な変更点**:
    *   プラグインの動的読み込みメカニズムを実装し、`config/plugins.js` でプラグイン情報を一元管理するように変更しました。
    *   レスポンシブな左右・上下分割レイアウトを実装しました。
    *   シンタックスハイライトON/OFF時のプレビュー表示とテキストエリアの表示を調整しました。
    *   テキストエリアの青い枠線は永続的に表示する設定となっています。
    *   カクヨム記法プラグインの二重定義を修正し、シンタックスハイライトとの競合を解消しました。
